gene_id	normalized_counts
Cgl2367	0.51
Cgl2366	66.61
Cgl2365	69.04
Cgl2364	118.21
Cgl2363	2795.83
Cgl2362	911.71
Cgl2360	93.33
Cgl2359	569.07
Cgl2358	55.67
Cgl2357	306.23
Cgl2356	344.81
Cgl2355	276.01
Cgl2354	451.22
Cgl2353	108.65
Cgl2352	95.52
Cgl2351	405.69
Cgl2350	573.76
Cgl2349	225.34
Cgl2348	37.4
Cgl2347	14.55
Cgl2346	75.84
Cgl2345	176.95
Cgl2344	114.64
Cgl2343	922.49
Cgl2342	260.4
Cgl2341	342.11
Cgl2340	6.27
Cgl2339	4.49
Cgl2338	13.41
Cgl2337	41.8
Cgl2336	29.83
Cgl2335	71.26
Cgl2334	59.96
Cgl2333	47.64
Cgl2332	99.23
Cgl2331	62.25
Cgl2329	284.12
Cgl2328	203.15
Cgl2327	25.28
Cgl2326	10.05
Cgl2325	34.33
Cgl2324	127.26
Cgl2323	24.79
Cgl2322	29.87
Cgl2321	32.42
Cgl2320	87.38
Cgl2319	6.36
Cgl2318	7.18
Cgl2317	11.98
Cgl2316	66.99
Cgl2315	10.67
Cgl2314	47.38
Cgl2313	60.71
Cgl2312	435.8
Cgl2311	397.86
Cgl2310	172.04
Cgl2309	213.94
Cgl2308	131.04
Cgl2307	21.92
Cgl2306	20.06
Cgl2305	114.41
Cgl2304	89.72
Cgl2303	183.55
Cgl2302	32.55
Cgl2301	64.9
Cgl2300	250.05
Cgl2299	104.43
Cgl2298	212.34
Cgl2297	1539.77
Cgl2296	263.18
Cgl2295	216.88
Cgl2294	294.82
Cgl2293	541.57
Cgl2292	41.14
Cgl2291	248.48
Cgl2290	231.36
Cgl2289	236.89
Cgl2288	258.74
Cgl2287	309.3
Cgl2286	69.46
Cgl2285	756.22
Cgl2284	458.33
Cgl2283	205.64
Cgl2282	88.17
Cgl2281	0.43
Cgl2280	398.31
Cgl2279	214.14
Cgl2278	454.39
Cgl2277	276.56
Cgl2276	237.8
Cgl2275	125.15
Cgl2274	92.61
Cgl2273	50.73
Cgl2272	4.28
Cgl2271	272.19
Cgl2270	100.02
Cgl2269	133.33
Cgl2268	108.44
Cgl2267	277.03
Cgl2266	263.74
Cgl2265	9.97
Cgl2264	40.87
Cgl2263	10.18
Cgl2262	31.73
Cgl2261	25.15
Cgl2260	29.69
Cgl2259	552.99
Cgl2258	4287.92
Cgl2257	267.81
Cgl2256	471.02
Cgl2255	189.37
Cgl2254	25.94
Cgl2253	13.14
Cgl2252	394.03
Cgl2251	125.75
Cgl2250	148.83
Cgl2249	135.56
Cgl2248	1507.72
Cgl2247	13.89
Cgl2246	582.43
Cgl2245	42.69
Cgl2244	64.89
Cgl2241	326.11
Cgl2240	487.95
Cgl2239	173.82
Cgl2238	75.22
Cgl2237	191.95
Cgl2236	165.21
Cgl2235	5.41
Cgl2234	177.47
Cgl2233	24.8
Cgl2232	437.01
Cgl2231	108.94
Cgl2230	8.43
Cgl2229	148.34
Cgl2228	59.32
Cgl2227	164.44
Cgl2226	197.45
Cgl2225	91.08
Cgl2224	114.29
Cgl2223	73.5
Cgl2222	241.99
Cgl2221	343.2
Cgl2220	129.71
Cgl2219	113.01
Cgl2218	42.7
Cgl2217	53.35
Cgl2216	71
Cgl2215	701.24
Cgl2214	3577.41
Cgl2213	168.57
Cgl2211	111.69
Cgl2210	643.17
Cgl2209	665.67
Cgl2208	201.1
Cgl2207	549.58
Cgl2206	158.03
Cgl2205	150.52
Cgl2204	196.99
Cgl2203	369.42
Cgl2201	57.35
Cgl2200	144.67
Cgl2199	61.38
Cgl2198	182.78
Cgl2197	1950.3
Cgl2196	138.98
Cgl2195	2627.54
Cgl2194	1259.08
Cgl2193	40.94
Cgl2192	3746.18
Cgl2191	2655.35
Cgl2190	2268.37
Cgl2189	1520.53
Cgl2188	584.51
Cgl2187	115.88
Cgl2186	157.49
Cgl2185	68.91
Cgl2184	409.61
Cgl2183	200
Cgl2182	117.48
Cgl2180	58.18
Cgl2179	76.3
Cgl2178	215.71
Cgl2177	19.3
Cgl2176	40.94
Cgl2175	154.31
Cgl2174	222.85
Cgl2173	61.87
Cgl2172	57.15
Cgl2171	639.1
Cgl2170	110.32
Cgl2169	102.93
Cgl2168	1604.17
Cgl2167	2014.64
Cgl2166	716.91
Cgl2165	1025.72
Cgl2164	388.24
Cgl2163	328.31
Cgl2162	198.6
Cgl2161	140.73
Cgl2160	124.97
Cgl2159	199.06
Cgl2158	281.55
Cgl2157	306
Cgl2156	193.64
Cgl2155	1074.91
Cgl2154	138.73
Cgl2153	140.4
Cgl2152	1253.81
Cgl2151	366.77
Cgl2150	1072.5
Cgl2149	52.24
Cgl2148	124.29
Cgl2147	6.57
Cgl2146	26.48
Cgl2145	18.28
Cgl2144	22.33
Cgl2143	119.68
Cgl2142	216.68
Cgl2141	94.04
Cgl2140	95.22
Cgl2139	209.47
Cgl2138	201.85
Cgl2137	102.5
Cgl2136	88.46
Cgl2135	124.29
Cgl2134	360.58
Cgl2133	76.21
Cgl2132	117.13
Cgl2131	79.78
Cgl2130	264.67
Cgl2129	814.58
Cgl2128	697.45
Cgl2127	394.7
Cgl2126	31.41
Cgl2125	425.65
Cgl2124	210.64
Cgl2123	289.65
Cgl2122	47.97
Cgl2121	44.54
Cgl2120	44.4
Cgl2119	58.48
Cgl2118	106.98
Cgl2117	30.86
Cgl2116	69.57
Cgl2115	50.64
Cgl2114	64.41
Cgl2113	21.37
Cgl2112	20.24
Cgl2111	47.04
Cgl2110	4.52
Cgl2109	7.79
Cgl2108	94.63
Cgl2107	206.5
Cgl2106	59.57
Cgl2105	802.44
Cgl2104	133.31
Cgl2103	173.23
Cgl2102	207.99
Cgl2101	173.15
Cgl2100	348.26
Cgl2099	273.69
Cgl2098	76.15
Cgl2097	570.48
Cgl2096	339.5
Cgl2095	299.9
Cgl2094	171.35
Cgl2093	225.74
Cgl2092	172.48
Cgl2091	129
Cgl2090	87.81
Cgl2089	1426.56
Cgl2088	93.24
Cgl2087	15.74
Cgl2086	6.01
Cgl2085	5.33
Cgl2084	12.92
Cgl2083	169.22
Cgl2082	42.68
Cgl2081	625.43
Cgl2080	96.22
Cgl2079	1414.7
Cgl2078	23.95
Cgl2077	23.28
Cgl2076	188.61
Cgl2075	246.09
Cgl2074	153.98
Cgl2073	58.66
Cgl2072	13.72
Cgl2071	6.25
Cgl2069	4.16
Cgl2068	57.23
Cgl2067	30.18
Cgl2066	24.33
Cgl2065	31.06
Cgl2064	81.17
Cgl2062	64.75
Cgl2061	1975.17
Cgl2060	1143.24
Cgl2059	404.2
Cgl2058	532.61
Cgl2057	30.51
Cgl2056	10.26
Cgl2055	129.55
Cgl2054	822.07
Cgl2053	112.11
Cgl2052	84.6
Cgl2051	103.6
Cgl2050	138.83
Cgl2049	138.56
Cgl2048	434.58
Cgl2046	16.83
Cgl2045	7.3
Cgl2044	19.76
Cgl2043	95.27
Cgl2042	315.41
Cgl2041	912.05
Cgl2040	746.06
Cgl2039	924.39
Cgl2038	584.45
Cgl2037	837.4
Cgl2035	2.55
Cgl2034	187.35
Cgl2033	131.51
Cgl2032	260.14
Cgl2031	13.02
Cgl2030	10.98
Cgl2029	9.99
Cgl2028	44.44
Cgl2027	4.37
Cgl2026	3056.32
Cgl2025	677.28
Cgl2024	605.15
Cgl2023	778.98
Cgl2022	307.62
Cgl2020	339.72
Cgl2019	129.87
Cgl2018	63.88
Cgl2017	1759.52
Cgl2016	48.57
Cgl2015	88.41
Cgl2014	530.04
Cgl2012	39.12
Cgl2011	41.66
Cgl2010	38.06
Cgl2009	78.81
Cgl2008	238.2
Cgl2007	364.14
Cgl2006	235.71
Cgl2005	4126.84
Cgl2004	6423.59
Cgl2003	181.01
Cgl2002	131.47
Cgl2001	526.78
Cgl2000	90.38
Cgl1999	59
Cgl1998	208.73
Cgl1997	109.97
Cgl1996	84.44
Cgl1995	52.92
Cgl1994	206.56
Cgl1993	6.72
Cgl1992	163.33
Cgl1991	700.52
Cgl1990	1264.07
Cgl1989	55.68
Cgl1988	104.15
Cgl1987	249.97
Cgl1986	1944.19
Cgl1985	931.4
Cgl1984	349.54
Cgl1983	259.28
Cgl1982	53.23
